query,expected_intent,actual_intent,routing_score,precision@3,recall@3,f1@3,gen_score,latency
What weapons does Aatrox wield?,Graph,Vector,0,0.0,0.0,0.0,1,5.84
In which ancient land did Aatrox originate?,Graph,Vector,0,0.0,0.0,0.0,0,6.7
List some characters related to Aatrox.,Graph,Vector,0,0.0,0.0,0.0,0,2.33
What is Aatrox's faction and occupation?,Graph,Vector,0,0.0,0.0,0.0,7,6.66
Describe Aatrox's early life as an Ascended being.,Vector,Vector,1,0.0,0.0,0.0,1,14.39
What motivated the Icathian Uprising against the emperor?,Vector,Vector,1,0.0,0.0,0.0,10,7.43
What role did Aatrox play during the Icathian Uprising?,Vector,Vector,1,0.0,0.0,0.0,1,6.31
What kind of entities did Aatrox combat as an Ascended hero?,Vector,Vector,1,0.0,0.0,0.0,5,4.76
"Considering Aatrox's origin in ancient Shurima, describe his role in fighting the Icathian rebellion.",Hybrid,Vector,0,0.0,0.0,0.0,10,16.82
"What is Aatrox's connection to other Darkin like Rhaast, and how does this relate to their shared history as ancient Shuriman warriors?",Hybrid,Vector,0,0.0,0.0,0.0,8,18.98
Who is Aatrox's brother and what did he do to the emperor?,Adversarial,Vector,0,0.0,0.0,0.0,0,6.33
Describe Aatrox's role in fighting against the betrayers of ancient Shurima.,Adversarial,Vector,0,0.0,0.0,0.0,5,31.52
What are Ahri's primary weapons?,Graph,Vector,0,0.0,0.0,0.0,0,4.29
From which region does Ahri originate?,Graph,Vector,0,0.0,0.0,0.0,10,7.89
Who was Ahri's lover before her transformation?,Graph,Vector,0,0.0,0.0,0.0,10,6.24
Which other Vastayan champion is closely associated with Ahri?,Graph,Vector,0,0.0,0.0,0.0,10,2.27
Describe Ahri's emotional state after the loss of her lover.,Vector,Vector,1,0.0,0.0,0.0,3,8.61
What specific actions did Ahri take in the Garden of Forgetting?,Vector,Vector,1,0.0,0.0,0.0,0,6.16
What was Ahri's nature as a predator before she sought to forget her past?,Vector,Vector,1,0.0,0.0,0.0,0,11.18
What was Ahri's primary motivation when she met the Witch Gardener?,Vector,Vector,1,0.0,0.0,0.0,10,5.66
How did Ahri's grief in Ionia lead her to seek the aid of the Witch Gardener?,Hybrid,Vector,0,0.0,0.0,0.0,5,6.16
"Considering Ahri's nature as a soul devourer and her Ionian origin, what internal conflict did she face?",Hybrid,Vector,0,0.0,0.0,0.0,10,10.0
Who is Ahri's brother?,Adversarial,Vector,0,0.0,0.0,0.0,0,2.49
Is Ahri a traitor to Ionia?,Adversarial,Vector,0,0.0,0.0,0.0,10,2.97
What weapons does Akali use?,Graph,Vector,0,0.0,0.0,0.0,10,3.75
In which region is Akali primarily active?,Graph,Vector,0,0.0,0.0,0.0,10,4.56
Who are Akali's parents?,Graph,Vector,0,0.0,0.0,0.0,10,6.3
Name key Kinkou Order members Akali is associated with.,Graph,Vector,0,0.0,0.0,0.0,10,3.27
Describe Akali's personality as a rogue assassin.,Vector,Vector,1,0.0,0.0,0.0,10,17.78
What significant event during Akali's childhood influenced her path with the Kinkou Order?,Vector,Vector,1,0.0,0.0,0.0,10,9.38
How did Akali become proficient with shuriken techniques?,Vector,Vector,1,0.0,0.0,0.0,0,4.57
What does Akali believe is her ultimate calling?,Vector,Vector,1,0.0,0.0,0.0,10,8.99
"How did the internal conflict within Ionia, specifically Zed's coup, shape Akali's current role as a Kinkou leader?",Hybrid,Vector,0,0.0,0.0,0.0,10,16.16
Explain the influence of Master Kennen on Akali's development as an assassin within Ionia.,Hybrid,Vector,0,0.0,0.0,0.0,5,12.98
What is Akali's relationship with her older brother?,Adversarial,Vector,0,0.0,0.0,0.0,10,2.95
Describe the primary traitor who attacked the Kinkou Order and Master Kusho.,Adversarial,Vector,0,0.33,0.33,0.33,2,3.13
What are Akshan's primary weapons?,Graph,Vector,0,0.0,0.0,0.0,0,4.44
Where is Akshan from?,Graph,Vector,0,0.0,0.0,0.0,10,5.44
What faction does Akshan belong to?,Graph,Vector,0,0.0,0.0,0.0,4,2.87
Who was Akshan's mentor?,Graph,Vector,0,0.0,0.0,0.0,10,3.6
Why did Akshan intervene in injustices on the streets as a child?,Vector,Vector,1,0.0,0.0,0.0,10,6.96
What happened to Akshan after he intervened against the warlords?,Vector,Vector,1,0.0,0.0,0.0,10,3.33
Who saved Akshan when he was left for dead?,Vector,Vector,1,0.0,0.0,0.0,0,2.4
What did Shadya see in Akshan?,Vector,Vector,1,0.0,0.0,0.0,10,4.8
How did Akshan's upbringing in the oppressive city of Marwi influence his decision to join the Sentinels of Light?,Hybrid,Vector,0,0.0,0.0,0.0,9,8.59
"What was the significance of Shadya's mentorship for Akshan, considering his rough start on the streets of Marwi?",Hybrid,Vector,0,0.0,0.0,0.0,9,9.86
Who were the betrayers who left Akshan for dead?,Adversarial/Trap,Vector,0,0.0,0.0,0.0,10,4.49
What is the name of Akshan's older brother?,Adversarial/Trap,Vector,0,0.0,0.0,0.0,0,3.91
